,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.229,0.9999999999824914,210.26016666666663,-105.13008333333332
0.23,0.9999999999825165,211.21666666666664,-105.60833333333332
0.231,0.9999999999825416,212.17350000000005,-106.08675000000002
0.232,0.9999999999825668,213.13066666666668,-106.56533333333334
0.233,0.9999999999825918,214.08816666666667,-107.04408333333333
0.234,0.9999999999826169,215.04600000000005,-107.52300000000002
0.235,0.9999999999826422,216.00416666666672,-108.00208333333335
0.236,0.9999999999826673,216.96266666666668,-108.48133333333335
0.237,0.9999999999826927,217.92150000000004,-108.96075
0.238,0.9999999999827177,218.88066666666668,-109.44033333333338
0.239,0.9999999999827428,219.84016666666668,-109.92008333333334
0.24,0.9999999999827683,220.8,-110.40000000000003
0.241,0.999999999982793,221.75012500000003,-110.87506250000001
0.242,0.9999999999828182,222.70050000000003,-111.35025000000003
0.243,0.999999999982843,223.651125,-111.8255625
0.244,0.999999999982868,224.602,-112.301
0.245,0.9999999999828929,225.55312499999997,-112.77656249999998
0.246,0.9999999999829177,226.50449999999998,-113.25225
0.247,0.9999999999829429,227.456125,-113.7280625
0.248,0.999999999982968,228.408,-114.20400000000004
0.249,0.9999999999829928,229.36012500000004,-114.68006250000002
0.25,0.9999999999830179,230.31249999999994,-115.15625
0.251,0.9999999999830429,231.265125,-115.63256250000002
0.252,0.9999999999830679,232.21800000000007,-116.10900000000001
0.253,0.9999999999830929,233.17112500000002,-116.58556250000001
0.254,0.999999999983118,234.1245,-117.06225
0.255,0.9999999999831432,235.07812500000006,-117.5390625
0.256,0.9999999999831681,236.032,-118.01599999999996
0.257,0.999999999983193,236.98612500000002,-118.49306250000001
0.258,0.9999999999832182,237.9405,-118.97025000000001
0.259,0.9999999999832433,238.89512500000006,-119.44756250000003
0.26,0.9999999999832683,239.85000000000002,-119.92499999999998
0.261,0.9999999999832933,240.80512499999998,-120.40256250000002
0.262,0.9999999999833185,241.76049999999995,-120.88024999999999
0.263,0.9999999999833434,242.71612500000003,-121.35806250000002
0.264,0.9999999999833685,243.67200000000005,-121.83600000000004
0.265,0.9999999999833938,244.628125,-122.31406249999996
0.266,0.9999999999834188,245.58450000000002,-122.79225000000001
0.267,0.999999999983444,246.54112500000002,-123.27056250000004
0.268,0.999999999983469,247.49800000000002,-123.749
0.269,0.9999999999834939,248.45512500000007,-124.22756250000003
0.27,0.9999999999835194,249.41250000000005,-124.70625000000001
0.271,0.9999999999835444,250.37012499999992,-125.18506250000002
0.272,0.9999999999835697,251.32799999999997,-125.66399999999999
0.273,0.9999999999835947,252.28612500000003,-126.14306250000001
0.274,0.9999999999836201,253.24450000000004,-126.62225000000002
0.275,0.9999999999836452,254.20312500000006,-127.10156250000003
0.276,0.9999999999836703,255.16199999999998,-127.581
0.277,0.9999999999836955,256.12112499999995,-128.06056249999997
