,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.046,0.9999999999633621,40.83266666666667,-300.00000000000006
0.047,0.9999999999634093,41.728166666666674,-300.0
0.048,0.9999999999634562,42.62400000000001,-300.00000000000006
0.049,0.9999999999635033,43.52016666666667,-300.0
0.05,0.9999999999635503,44.416666666666664,-300.0
0.051,0.9999999999635976,45.313500000000005,-300.00000000000006
0.052,0.9999999999636446,46.21066666666667,-300.0
0.053,0.9999999999636918,47.108166666666676,-300.0
0.054,0.9999999999637389,48.006,-299.99999999999994
0.055,0.9999999999637861,48.90416666666667,-300.0
0.056,0.9999999999638333,49.80266666666668,-300.0
0.057,0.9999999999638802,50.70149999999998,-300.0
0.058,0.9999999999639275,51.60066666666668,-299.99999999999994
0.059,0.9999999999639747,52.500166666666665,-300.0000000000001
0.06,0.9999999999640222,53.400000000000006,-300.0
0.061,0.9999999999640693,54.300166666666684,-300.00000000000006
0.062,0.9999999999641167,55.20066666666666,-300.0
0.063,0.999999999964164,56.101499999999994,-300.0
0.064,0.9999999999642113,57.00266666666666,-299.99999999999994
0.065,0.9999999999642587,57.90416666666668,-300.0
0.066,0.9999999999643059,58.806,-300.0
0.067,0.9999999999643534,59.708166666666656,-300.0
0.068,0.9999999999644007,60.610666666666674,-300.0
0.069,0.9999999999644481,61.5135,-300.0
0.07,0.9999999999644954,62.416666666666686,-299.99999999999994
0.071,0.999999999964543,63.32016666666668,-300.00000000000006
0.072,0.9999999999645905,64.224,-300.00000000000006
0.073,0.999999999964638,65.12816666666667,-299.99999999999994
0.074,0.9999999999646855,66.03266666666667,-300.0
0.075,0.9999999999647329,66.9375,-300.00000000000006
0.076,0.9999999999647805,67.84266666666666,-300.0
0.077,0.9999999999648281,68.74816666666665,-299.99999999999994
0.078,0.9999999999648755,69.654,-300.0
0.079,0.9999999999649231,70.56016666666665,-299.99999999999994
0.08,0.9999999999649707,71.46666666666667,-299.99999999999994
0.081,0.9999999999650184,72.37349999999999,-300.0
0.082,0.9999999999650662,73.28066666666666,-300.0
0.083,0.9999999999651138,74.18816666666669,-300.0
0.084,0.9999999999651614,75.096,-300.0
0.085,0.9999999999652092,76.00416666666666,-300.00000000000006
0.086,0.9999999999652567,76.91266666666667,-299.99999999999994
0.087,0.9999999999653045,77.8215,-300.0
0.088,0.9999999999653522,78.73066666666669,-300.0
0.089,0.9999999999654002,79.64016666666666,-299.99999999999994
0.09,0.9999999999654479,80.55000000000001,-299.99999999999994
0.091,0.9999999999654955,81.46016666666668,-299.99999999999994
0.092,0.9999999999655432,82.37066666666666,-300.0
0.093,0.9999999999655911,83.2815,-300.0
0.094,0.9999999999656392,84.19266666666667,-300.0
0.095,0.9999999999656868,85.10416666666669,-300.0
0.096,0.9999999999657345,86.01600000000002,-300.0
0.097,0.9999999999657826,86.92816666666667,-300.0
0.098,0.9999999999658303,87.84066666666666,-300.0
0.099,0.9999999999658784,88.7535,-299.99999999999994
0.1,0.9999999999659264,89.66666666666669,-299.99999999999994
0.101,0.9999999999659746,90.58016666666667,-299.99999999999994
0.102,0.9999999999660224,91.49400000000001,-300.0
0.103,0.9999999999660703,92.40816666666666,-300.0
0.104,0.9999999999661184,93.32266666666666,-300.0
0.105,0.9999999999661664,94.23750000000001,-300.0
0.106,0.9999999999662146,95.15266666666668,-300.00000000000006
0.107,0.9999999999662625,96.06816666666666,-300.0
0.108,0.9999999999663107,96.98400000000004,-300.0
0.109,0.9999999999663589,97.90016666666666,-299.99999999999994
0.11,0.9999999999664071,98.81666666666665,-299.99999999999994
0.111,0.999999999966455,99.7335,-299.99999999999994
0.112,0.9999999999665031,100.65066666666665,-300.0
0.113,0.9999999999665514,101.56816666666667,-299.99999999999994
0.114,0.9999999999665996,102.48599999999999,-299.99999999999994
0.115,0.9999999999666479,103.40416666666667,-300.0
0.116,0.999999999966696,104.32266666666666,-300.0
0.117,0.9999999999667445,105.2415,-299.99999999999994
0.118,0.9999999999667928,106.16066666666667,-300.0
0.119,0.9999999999668407,107.08016666666668,-300.0
0.12,0.999999999966889,108.00000000000003,-299.99999999999994
0.121,0.9999999999669372,108.92016666666669,-300.00000000000006
0.122,0.999999999966986,109.84066666666666,-300.0
0.123,0.999999999967034,110.76150000000004,-300.0
0.124,0.9999999999670826,111.68266666666665,-299.99999999999994
0.125,0.9999999999671308,112.60416666666669,-300.00000000000006
0.126,0.9999999999671793,113.52600000000001,-300.00000000000006
0.127,0.9999999999672277,114.44816666666665,-300.0
0.128,0.9999999999672762,115.37066666666666,-300.0
0.129,0.9999999999673248,116.2935,-300.00000000000006
0.13,0.9999999999673732,117.2166666666667,-300.00000000000006
0.131,0.9999999999674215,118.14016666666667,-299.99999999999994
0.132,0.99999999996747,119.06399999999996,-300.0
0.133,0.9999999999675188,119.98816666666667,-300.0
0.134,0.9999999999675673,120.9126666666667,-300.0
0.135,0.9999999999676156,121.8375,-299.99999999999994
0.136,0.9999999999676643,122.76266666666666,-299.99999999999994
0.137,0.9999999999677129,123.68816666666667,-300.0
0.138,0.9999999999677617,124.614,-300.0
0.139,0.9999999999678102,125.54016666666666,-299.99999999999994
0.14,0.9999999999678588,126.46666666666667,-299.99999999999994
0.141,0.9999999999679074,127.39349999999996,-300.0
0.142,0.9999999999679562,128.32066666666668,-300.0
0.143,0.9999999999680047,129.24816666666666,-300.0
0.144,0.9999999999680534,130.17600000000002,-299.99999999999994
0.145,0.9999999999681022,131.10416666666666,-300.0
0.146,0.9999999999681511,132.03266666666667,-300.0
0.147,0.9999999999681998,132.9615,-300.0
0.148,0.9999999999682486,133.89066666666668,-300.00000000000006
0.149,0.9999999999682972,134.8201666666667,-300.0
0.15,0.9999999999683461,135.75,-300.0
0.151,0.9999999999683951,136.6801666666667,-300.00000000000006
0.152,0.9999999999684441,137.6106666666667,-300.0
0.153,0.9999999999684929,138.54149999999998,-299.99999999999994
0.154,0.9999999999685418,139.47266666666664,-300.0
0.155,0.9999999999685907,140.4041666666667,-300.0
0.156,0.9999999999686395,141.336,-300.0
0.157,0.9999999999686885,142.26816666666667,-300.0
0.158,0.9999999999687375,143.20066666666668,-300.0
0.159,0.9999999999687864,144.13350000000003,-300.0
0.16,0.9999999999688356,145.06666666666666,-300.00000000000006
0.161,0.9999999999688846,146.0001666666667,-300.0
0.162,0.9999999999689335,146.934,-300.0
0.163,0.9999999999689825,147.86816666666667,-300.0
0.164,0.9999999999690319,148.80266666666665,-300.0
0.165,0.9999999999690808,149.7375,-300.0
0.166,0.9999999999691299,150.67266666666666,-300.0
0.167,0.9999999999691791,151.6081666666667,-300.0
0.168,0.9999999999692283,152.544,-300.0
0.169,0.9999999999692772,153.48016666666666,-300.0
0.17,0.9999999999693263,154.41666666666666,-299.99999999999994
0.171,0.9999999999693756,155.3535,-300.0
