Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 7943.3, -1.64028, 7943.3, -121.64, 7943.3, 118.36, 828.881, -3.42708, 828.881, -123.427, 828.881, 116.573
180, 3.00000, 5.29407E-009, -173.454, 2.08078E-008, 64.147, 1.85187E-008, -101.885, 6.39576E-009, -82.2393, 2.51379E-008, 155.362, 2.23724E-008, -10.6708
300, 5.00000, 0.00204924, 176.074, 0.0020489, -63.9241, 0.00204901, 56.0668, 0.00148562, -93.1973, 0.00148538, 26.8046, 0.00148546, 146.796
420, 7.00000, 0.00204248, -27.3258, 0.00204264, -147.309, 0.00204308, 92.6786, 0.0010577, 63.1948, 0.00105779, -56.7883, 0.00105801, -176.801
540, 9.00000, 1.31628E-008, -49.8355, 2.36444E-008, -155.643, 2.37225E-008, 56.6253, 5.3017E-009, 40.5694, 9.5235E-009, -65.2378, 9.55497E-009, 147.03
660, 11.00000, 156.873, 29.9196, 156.873, 149.92, 156.873, -90.0804, 51.6975, 120.251, 51.6975, -119.749, 51.6975, 0.250843
780, 13.00000, 77.7337, 44.899, 77.7337, -75.101, 77.7337, 164.899, 21.6761, 135.179, 21.6761, 15.1793, 21.6761, -104.821
900, 15.00000, 4.60395E-009, 73.0811, 1.94583E-008, -169.56, 1.7818E-008, -2.82687, 1.11264E-009, 163.324, 4.70252E-009, -79.3171, 4.30611E-009, 87.4161
60, 1.00000, 7929.06, -2.26041, 7929.06, -122.26, 7929.06, 117.74, 1143.23, -4.61015, 1143.23, -124.61, 1143.23, 115.39
180, 3.00000, 2.49073E-009, -176.687, 9.83587E-009, 60.7301, 8.74999E-009, -105.392, 3.00905E-009, -85.4725, 1.18827E-008, 151.945, 1.05708E-008, -14.1775
300, 5.00000, 0.000770913, 168.827, 0.000770756, -71.1708, 0.000770811, 48.8181, 0.000558883, -100.444, 0.00055877, 19.558, 0.00055881, 139.547
420, 7.00000, 0.000769393, -36.0736, 0.00076946, -156.053, 0.000769665, 83.9323, 0.000398432, 54.4469, 0.000398466, -65.5326, 0.000398572, 174.453
540, 9.00000, 5.84081E-009, -58.0116, 1.0426E-008, -163.796, 1.04731E-008, 48.6612, 2.35256E-009, 32.3932, 4.19937E-009, -73.3908, 4.21837E-009, 139.066
660, 11.00000, 67.3841, 21.2432, 67.3841, 141.243, 67.3841, -98.7568, 22.2064, 111.575, 22.2064, -128.425, 22.2064, -8.42547
780, 13.00000, 32.569, 35.8416, 32.569, -84.1584, 32.569, 155.842, 9.08193, 126.122, 9.08193, 6.12189, 9.08193, -113.878
900, 15.00000, 1.90884E-009, 63.7746, 7.97349E-009, -178.78, 7.29316E-009, -12.2108, 4.61313E-010, 154.018, 1.92697E-009, -88.537, 1.76255E-009, 78.0321
60, 1.00000, 7936.99, -1.92969, 7936.99, -121.93, 7936.99, 118.07, 975.515, -3.97874, 975.515, -123.979, 975.515, 116.021
180, 3.00000, 3.51796E-009, -175.4, 1.36997E-008, 62.3899, 1.21934E-008, -103.481, 4.25005E-009, -84.1852, 1.65506E-008, 153.604, 1.47308E-008, -12.2663
300, 5.00000, 0.00122026, 172.602, 0.00122004, -67.3956, 0.00122011, 52.5945, 0.000884643, -96.6688, 0.000884484, 23.3332, 0.000884538, 143.323
420, 7.00000, 0.00121588, -31.5955, 0.00121598, -151.577, 0.00121627, 88.4096, 0.000629645, 58.9251, 0.000629697, -61.0566, 0.000629846, 178.93
540, 9.00000, 8.42863E-009, -53.8081, 1.50906E-008, -159.641, 1.51448E-008, 52.732, 3.39488E-009, 36.5968, 6.07818E-009, -69.2358, 6.10001E-009, 143.137
660, 11.00000, 98.8845, 25.6445, 98.8845, 145.645, 98.8845, -94.3555, 32.5874, 115.976, 32.5874, -124.024, 32.5874, -4.02418
780, 13.00000, 48.4106, 40.3797, 48.4106, -79.6203, 48.4106, 160.38, 13.4994, 130.66, 13.4994, 10.66, 13.4994, -109.34
900, 15.00000, 2.80963E-009, 68.4402, 1.19671E-008, -174.412, 1.09737E-008, -7.58077, 6.79009E-010, 158.683, 2.89212E-009, -84.1687, 2.65204E-009, 82.6622
60, 1.00000, 7869.11, -4.14782, 7869.11, -124.148, 7869.11, 115.852, 2104.22, -8.24049, 2104.22, -128.24, 2104.22, 111.76
180, 3.00000, 2.77341E-009, 173.243, 1.09134E-008, 50.4555, 9.69598E-009, -115.63, 3.35055E-009, -95.5427, 1.31844E-008, 141.67, 1.17137E-008, -24.4159
300, 5.00000, 0.000240171, 158.049, 0.000240012, -81.9421, 0.000240059, 38.0205, 0.000174115, -111.222, 0.000174, 8.78666, 0.000174034, 128.749
